root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.100936642171837e-11,2.264218570624989e-08,1.8955143127659545e-06,0.0,0.0,17.18836673235509,6.875489202942895,-0.00023021311360794036,45.836562827818994,-0.00016660377212617257,1.4738341075894792e-05,6.735469300704313e-06,17.188588534633542,-6.875645107460403,0.00021036139116968017,45.83645919860731,2.000296134988814e-05,5.994581352549089e-06,1.3840231193252612e-05,-7.511476755830591,0.3208567000753515,-1.9938931829006497,14.140599039838772,-6.898413082112156,-0.4469073313843294,-7.51147673975599,-0.3208566363977552,1.993893172410586,14.140599043164553,-6.898413098463906,0.4469074071123344
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.7937142416707938e-11,3.010837899648163e-08,2.520554511054098e-06,0.0,0.0,17.18824567511109,6.875487772293571,-0.0003061252020627453,45.836542784922244,-0.00022154086970648158,1.9598265143190936e-05,8.956470239036846e-06,17.188540616030163,-6.875695085861319,0.0002797274332846581,45.836404984286695,2.659887827031495e-05,7.97127669692992e-06,1.8404006202031715e-05,-7.511476776164607,0.32085681047534353,-1.993893201315499,14.140599256156134,-6.898413487284536,-0.44690741421094043,-7.511476754789452,-0.3208567258002495,1.9938931873663683,14.14059926057858,-6.898413509028228,0.4469075149100295
-50.0,-61.5,106.839,0.0,0.0,0.0,-3.623585017741558e-11,3.905205099820357e-08,3.2692833885523778e-06,0.0,0.0,17.18810066195088,6.875486058534255,-0.00039705946986341256,45.836518775753525,-0.0002873494233274695,2.541991549719912e-05,1.1616983185299756e-05,17.188483214854656,-6.875754954445964,0.00036282026314022394,45.83634004153976,3.450005564327233e-05,1.0339138620703419e-05,2.3870902809380206e-05,-7.511476800522502,0.32085694272229714,-1.9938932233744475,14.140599515280357,-6.8984139726361375,-0.4469075134280399,-7.511476772797874,-0.3208568328945282,1.9938932052817375,14.140599521016487,-6.898414000838777,0.4469076440397198
-50.0,-61.5,106.839,0.0,0.0,0.0,-4.602728787841041e-11,4.960446587388112e-08,4.152689862229076e-06,0.0,0.0,17.187929564550547,6.875484036512508,-0.0005043505377898592,45.836490447935915,-0.00036499528959394644,3.228873512573667e-05,1.4756055859887119e-05,17.18841548864352,-6.875825591891418,0.0004608594145828527,45.83626341721717,4.382245718368098e-05,1.3132919674298323e-05,3.0321157366129198e-05,-7.511476829261775,0.32085709875716967,-1.993893249401249,14.140599821014545,-6.898414545290352,-0.44690763049181365,-7.51147679404556,-0.3208569592523889,1.9938932264196334,14.140599828300658,-6.898414581113743,0.4469077963966113
-50.0,-61.5,106.839,0.0,0.0,0.0,-5.7432783678799183e-11,6.18963812415571e-08,5.181720443155117e-06,0.0,0.0,17.1877302627993,6.875481681172949,-0.0006293278763608825,45.83645745045233,-0.0004554405978993727,4.028983729472185e-05,1.8412585299224075e-05,17.188336598184296,-6.875907873483979,0.0005750597153148862,45.836174161847694,5.468159910600211e-05,1.6387238299105062e-05,3.783469659346498e-05,-7.5114768627385375,0.3208572805134283,-1.993893279718408,14.14060017714713,-6.898415212343081,-0.4469077668528283,-7.5114768187957965,-0.3208571064395633,1.9938932510419813,14.140600186238732,-6.898415257043456,0.4469079738685965
-50.0,-61.5,106.839,0.0,0.0,0.0,-7.057319631869271e-11,7.605804881767469e-08,6.367279290318657e-06,0.0,0.0,17.187500644789086,6.875478967557141,-0.0007733158123700256,45.836419433643776,-0.0005596437551558227,4.950800596660271e-05,2.2625318046990143e-05,17.18824570751145,-6.8760026711234525,0.0007066312928667982,45.83607132963367,6.719255069213153e-05,2.0136578997664946e-05,4.64911379758601e-05,-7.511476901307531,0.3208574899170597,-1.9938933146471816,14.14060058745188,-6.898415980862772,-0.4469079239560383,-7.51147684731085,-0.32085727601572556,1.9938932794096926,14.140600598623607,-6.89841603579043,0.4469081783362635
-50.0,-61.5,106.839,0.0,0.0,0.0,-8.556891571567222e-11,9.221921505990032e-08,7.720228264439689e-06,0.0,0.0,17.187238606804126,6.875475870803459,-0.0009376335354214417,45.8363760492076,-0.0006785594505239489,6.002769621878589e-05,2.7432850345342556e-05,17.18814198390221,-6.876110853327468,0.0008567795805694577,45.83595397844625,8.146993485929364e-05,2.4415292503859278e-05,5.6369790154004355e-05,-7.511476945322116,0.3208577288865794,-1.9938933545075805,14.14060105568793,-6.898416857890454,-0.4469081032407926,-7.51147687985197,-0.32085746953449973,1.9938933117826665,14.140601069233476,-6.8984169244893945,0.44690841167290546
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.0253986356125553e-10,1.1050912180994642e-07,9.251386981784608e-06,0.0,0.0,17.186942053310524,6.875472366146975,-0.001123595104465757,45.8363269501958,-0.0008131386601429444,7.193303466206538e-05,3.287362832613952e-05,17.188024597872488,-6.87623328523577,0.0010267053235263935,45.83582116982077,9.762792872793525e-05,2.9257595953098466e-05,6.75496533177358e-05,-7.511476995134279,0.3208579993330414,-1.9938933996183703,14.14060158559979,-6.898417850439771,-0.44690830614084265,-7.51147691667939,-0.32085768854346736,1.993893348419792,14.140601601831836,-6.898417930247331,0.44690867574452997
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.2160549391736347e-10,1.3105650693639438e-07,1.0971532867980817e-05,0.0,0.0,17.186608896945813,6.875468428919328,-0.0013325094543359364,45.836271791013274,-0.0009643286518605073,8.53078198590513e-05,3.8985948202163556e-05,17.187892723172745,-6.876370828614534,0.0012176045845860572,45.83567196895205,0.0001157802641896197,3.469757305251119e-05,8.010941959897173e-05,-7.511477051094634,0.32085830316004743,-1.9938934502970744,14.140602180917373,-6.89841896549702,-0.4469085340843487,-7.511476958052326,-0.3208579345841752,1.9938933895789481,14.140602200167505,-6.898419060143505,0.44690897240986804
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.4288479381278627e-10,1.5398960497751748e-07,1.2891401211831332e-05,0.0,0.0,17.18623705850857,6.875464034548606,-0.001565680402283149,45.83621022741611,-0.0011330729899628052,0.00010023552274259893,4.5807956458344854e-05,17.187745536783826,-6.876524341860657,0.0014306687503140901,45.83550544468975,0.00013604022847492093,4.076917425113354e-05,9.412747346463988e-05,-7.511477113552426,0.32085864226375704,-1.9938935068599748,14.140602845356005,-6.898420210021177,-0.4469087884938874,-7.511477004228987,-0.32085820919214314,1.9938934355170055,14.14060286797465,-6.898420321229504,0.44690930352038366
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.6649628383964971e-10,1.7943614778410358e-07,1.5021685219129329e-05,0.0,0.0,17.18582446694796,6.875459158559216,-0.0018244066545126281,45.836141916509845,-0.0013203115399044367,0.00011679928703423714,5.337765004298449e-05,17.187582218912887,-6.876694680006066,0.0016670845369655836,45.83532066953372,0.00015852066472131724,4.7506216910098094e-05,0.0001096818921096092,-7.511477182855532,0.3208590185328963,-1.9938935696221127,14.140603582616455,-6.898421590943947,-0.44690907078645886,-7.511477055466564,-0.32085851389687153,1.9938934864898288,14.140603608972793,-6.898421720529278,0.4469096709202829
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.9255801874988153e-10,2.075233651622781e-07,1.737303606647278e-05,0.0,0.0,17.185369059353324,6.875453776571772,-0.002109981812719541,45.83606651674776,-0.0015269804730383965,0.00013508192966259748,6.173287655897777e-05,17.187401952989237,-6.876882694722026,0.001928033996457346,45.83511671962929,0.0001833339725410853,5.494238547282314e-05,0.00012685044584962097,-7.511477259350458,0.3208594338487681,-1.9938936388972914,14.140604396384933,-6.898423115169785,-0.44690938237349365,-7.511477112021238,-0.32085885022184935,1.993893542752276,14.140604426866842,-6.898423265039162,0.44691007644652325
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.2118758805167792e-10,2.3837798551632708e-07,1.995606295507903e-05,0.0,0.0,17.18486878094377,6.875447864302957,-0.00242369438062485,45.83598368792914,-0.0017540122713460404,0.000155165941181843,7.091133445503764e-05,17.18720392566021,-6.877089234323432,0.002214694522340166,45.83489267476263,0.0002105921085891945,6.311123163520176e-05,0.00014571059851422,-7.511477343382344,0.3208598900852609,-1.9938937149980787,14.140605290333138,-6.898424789575936,-0.4469097246608601,-7.511477174148184,-0.3208592196845613,1.9938936045582003,14.140605325347103,-6.898424961727926,0.44691052192882297
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.525021166059694e-10,2.7212623649151955e-07,2.2781333164599364e-05,0.0,0.0,17.184321585057727,6.8754413975654165,-0.0027668277705111773,45.83589309119753,-0.002002335732167045,0.00017713348619009684,8.095057321691782e-05,17.186987326787072,-6.877315143773123,0.0025282388557710768,45.834647618356065,0.0002404065871312004,7.204617451579095e-05,0.0001663395078396854,-7.51147743529497,0.3208603891088589,-1.9938937982358056,14.140606268118248,-6.898426621012472,-0.4469100990488712,-7.511477242101564,-0.3208596237964962,1.9938936721604537,14.140606308089296,-6.8984268175368,0.4469110091896702
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.8661826522288766e-10,3.0889384561693087e-07,2.5859372106933622e-05,0.0,0.0,17.18372543314254,6.875434352267619,-0.003140660309758669,45.835794389039066,-0.002272875972929374,0.00020106640374787112,9.188799355863627e-05,17.186751349440858,-6.877561264686176,0.0028698350914856175,45.834380637463426,0.000272888480611139,8.178050082600073e-05,0.00018881402586196156,-7.511477535430752,0.3208609327786511,-1.9938938889205706,14.140607333382954,-6.898428616302325,-0.4469105069322919,-7.511477316134535,-0.3208600640631539,1.993893745810884,14.140607378754586,-6.898428839379511,0.4469115400443325
-50.0,-61.5,106.839,0.0,0.0,0.0,-3.2365223125823164e-10,3.4880604094826566e-07,2.920066338004481e-05,0.0,0.0,17.18307829474404,6.875426704413748,-0.0035464652473808644,45.83568724528069,-0.002566554435879244,0.00022704620779649606,0.00010376084761369842,17.18649518989826,-6.877828435334215,0.003240646683770106,45.83409082276538,0.00030814842021942095,9.23473650402835e-05,0.00021321069930958967,-7.511477644130747,0.320861522946341,-1.99389398736124,14.140608489755483,-6.898430782241318,-0.44691094970034645,-7.511477396499251,-0.3208605419840539,1.993893825760341,14.140608540989584,-6.898431034142323,0.4469121163008658
-50.0,-61.5,106.839,0.0,0.0,0.0,-3.6371974920993383e-10,3.9198755171068014e-07,3.2815648821773635e-05,0.0,0.0,17.182378147496124,6.875418430103563,-0.00398551076056055,45.83557132508845,-0.002884288892811084,0.0002551540875765481,0.00011660623912632051,17.18621804763751,-6.8781174906497125,0.0036418324524338905,45.833777268564745,0.00034629659646072495,0.00010377978956632279,0.000239605769996638,-7.511477761734651,0.3208621614562562,-1.9938940938654495,14.140609740849598,-6.898433125598211,-0.446911428736725,-7.511477483446855,-0.32086105905274215,1.993893912258673,14.140609798426382,-6.89843340868407,0.4469127397601241
-50.0,-61.5,106.839,0.0,0.0,0.0,-4.0693609131452637e-10,4.3856260894160536e-07,3.6714728563653114e-05,0.0,0.0,17.181622977110322,6.875409505532293,-0.0044590599611856315,45.83544629496577,-0.0032269934497974983,0.0002854709080462795,0.00013046112364265285,17.185919125334248,-6.878429262230291,0.004074546588781623,45.83343907278183,0.00038744275972189216,0.00011611066491522269,0.00026807517521563356,-7.511477888580805,0.3208628501453575,-1.993894208739607,14.140611090264636,-6.898435653114719,-0.44691194541959123,-7.511477577227494,-0.3208616167567994,1.9938940055547314,14.140611154682562,-6.898435969836189,0.44691341221576814
-50.0,-61.5,106.839,0.0,0.0,0.0,-4.534160681436079e-10,4.886549461335699e-07,4.0908261084723206e-05,0.0,0.0,17.1808107773654,6.875399906990499,-0.004968370902385001,45.835311822751756,-0.0035955785519192368,0.0003180772103000464,0.0001453623087020032,17.18559762885739,-6.878764578343031,0.004539938661585519,45.833075336949776,0.0004316962208398201,0.00012937274987169693,0.0002986945481304926,-7.511478025006194,0.32086359084324895,-1.9938943322888922,14.14061254158552,-6.898438371505565,-0.4469125011215891,-7.511477678090312,-0.3208622165778484,1.9938941058963717,14.14061261336122,-6.898438724402756,0.4469141354542755
-50.0,-61.5,106.839,0.0,0.0,0.0,-5.032740292003094e-10,5.423877998770231e-07,4.540656326534534e-05,0.0,0.0,17.1799395500969,6.8753896108639605,-0.005514696585064387,45.835167577619394,-0.00399095098799515,0.00035305321198673815,0.00016134645402805998,17.185252767265013,-6.879124263928763,0.005039153623057624,45.8326851662099,0.00047916585166935633,0.00014359867166425784,0.000331539218169452,-7.51147817134645,0.32086438537218687,-1.9938944648172592,14.140614098382768,-6.8984412874585015,-0.4469130972098503,-7.511477786283446,-0.3208628599915621,1.9938942135304527,14.140614178050976,-6.898441679160525,0.4469149112549491
