schema,pp_serve_clip_v1
policy_hz,50.0000000000
frame,time_s,phase,event_mask,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,head_yaw_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,head_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
21,0.4200000000,APPROACH_READY,0,-0.1454939356,-0.1454939356,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.0492443639,0.1183975444,-0.1055060644,-0.1055060644,0.0000000000,0.0834437420,-0.2558601904,-0.0080000000,0.0080000000,-0.3061635037,0.0891031664,0.9312543322,0.5864158933,-0.7609252997,0.1252120479,0.1107829716,-0.0644638579,-0.1284033645,-0.0396072857
22,0.4400000000,APPROACH_READY,0,-0.1466715146,-0.1466715146,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.0776191853,0.1036430121,-0.1043284854,-0.1043284854,0.0000000000,0.0804736804,-0.2668983316,-0.0080000000,0.0080000000,-0.3310381635,0.0963424713,0.9419182644,0.5690629694,-0.8227476845,0.1353850667,0.1197836810,-0.0697013095,-0.1388356661,-0.0428252321
23,0.4600000000,APPROACH_READY,0,-0.1478710043,-0.1478710043,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.1065219648,0.0886139486,-0.1031289957,-0.1031289957,0.0000000000,0.0774483561,-0.2781418549,-0.0080000000,0.0080000000,-0.3563756554,0.1037164748,0.9527806158,0.5513871670,-0.8857203720,0.1457473706,0.1289518627,-0.0750362121,-0.1494620770,-0.0461030535
24,0.4800000000,APPROACH_READY,0,-0.1490894833,-0.1490894833,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.1358823082,0.0733469579,-0.1019105167,-0.1019105167,0.0000000000,0.0743751374,-0.2895633759,-0.0080000000,0.0080000000,-0.3821142686,0.1112072172,0.9638149307,0.5334315367,-0.9496899886,0.1562737215,0.1382651872,-0.0804555723,-0.1602567162,-0.0494327665
25,0.5000000000,APPROACH_READY,0,-0.1503240302,-0.1503240302,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.1656298209,0.0578786442,-0.1006759698,-0.1006759698,0.0000000000,0.0712613929,-0.3011355104,-0.0080000000,0.0080000000,-0.4081922921,0.1187967386,0.9749947529,0.5152391287,-1.0145031606,0.1669388814,0.1477013248,-0.0859463966,-0.1711937022,-0.0528063879
26,0.5200000000,APPROACH_READY,0,-0.1515717235,-0.1515717235,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.1956941086,0.0422456118,-0.0994282765,-0.0994282765,0.0000000000,0.0681144907,-0.3128308740,-0.0080000000,0.0080000000,-0.4345480149,0.1264670792,0.9862936267,0.4968529937,-1.0800065143,0.1777176123,0.1572379457,-0.0914956914,-0.1822471538,-0.0562159342
27,0.5400000000,APPROACH_READY,0,-0.1528296418,-0.1528296418,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.2260047767,0.0264844648,-0.0981703582,-0.0981703582,0.0000000000,0.0649417992,-0.3246220826,-0.0080000000,0.0080000000,-0.4611197260,0.1342002792,0.9976850962,0.4783161821,-1.1460466759,0.1885846762,0.1668527205,-0.0970904635,-0.1933911898,-0.0596534221
28,0.5600000000,APPROACH_READY,0,-0.1540948636,-0.1540948636,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.2564914309,0.0106318073,-0.0969051364,-0.0969051364,0.0000000000,0.0617506869,-0.3364817519,-0.0080000000,0.0080000000,-0.4878457146,0.1419783787,1.0091427054,0.4596717444,-1.2124702719,0.1995148352,0.1765233193,-0.1027177192,-0.2045999290,-0.0631108684
29,0.5800000000,APPROACH_READY,0,-0.1553644676,-0.1553644676,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.2870836768,-0.0052757564,-0.0956355324,-0.0956355324,0.0000000000,0.0585485220,-0.3483824975,-0.0080000000,0.0080000000,-0.5146642696,0.1497834180,1.0206399985,0.4409627309,-1.2791239283,0.2104828511,0.1862274127,-0.1083644651,-0.2158474900,-0.0665802896
30,0.6000000000,APPROACH_READY,0,-0.1566355324,-0.1566355324,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.3177111199,-0.0212016222,-0.0943644676,-0.0943644676,0.0000000000,0.0553426730,-0.3602969353,-0.0080000000,0.0080000000,-0.5415136800,0.1575974371,1.0321505195,0.4222321922,-1.3458542717,0.2214634861,0.1959426708,-0.1140177078,-0.2271079916,-0.0700537026
